id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
B0KBFZU81J,平安车贷,金融保险服务;金融保险服务机构;金融保险机构|汽车服务;汽车服务相关;汽车服务相关,160000|010000,[],增城大道与学义路交叉口东北120米,113.773732,23.281452,113.76854592249894,23.28408542574477,[],广东省,广州市,增城区,金融保险服务,金融保险服务机构,金融保险机构
B0J15DR74A,粤鑫车贷,金融保险服务;金融保险服务机构;金融保险机构|汽车服务;汽车服务相关;汽车服务相关,160000|010000,[],合成市场西南1门西南70米,113.18009,23.451685,113.17466865835688,23.454200167352376,[],广东省,广州市,花都区,金融保险服务,金融保险服务机构,金融保险机构
B0JK0RU09S,汽车借贷,金融保险服务;金融保险服务机构;金融保险机构|汽车服务;汽车服务相关;汽车服务相关,160000|010000,[],大沥大塘底路与科创路交叉口东南180米,113.340694,23.298454,113.33522673662851,23.30095747840364,[],广东省,广州市,白云区,金融保险服务,金融保险服务机构,金融保险机构
B0FFGC12YP,平安大厦车险代理部,金融保险服务;金融保险服务机构;金融保险机构|汽车服务;汽车服务相关;汽车服务相关,160000|010000,[],体育东路160号平安大厦15楼,113.328955,23.139469,113.3235223804279,23.142048980109656,[],广东省,广州市,天河区,金融保险服务,金融保险服务机构,金融保险机构
B0JR6HOWEP,联满金融.汽车抵押押车借款,金融保险服务;金融保险服务机构;金融保险机构|汽车服务;汽车服务相关;汽车服务相关,160000|010000,[],汇商二路与创盈路交叉口西北320米,113.59648,23.190647,113.59139976162976,23.193486609996427,[],广东省,广州市,增城区,金融保险服务,金融保险服务机构,金融保险机构
B0KBR5JHET,平安车险,金融保险服务;金融保险服务机构;金融保险机构|汽车服务;汽车服务相关;汽车服务相关,160000|010000,[],浣花路109号东鹏德宝商务中心F2层,113.230818,23.082686,113.22549178253637,23.085379046898847,[],广东省,广州市,荔湾区,金融保险服务,金融保险服务机构,金融保险机构
B0FFGDK6C3,中华保险财产保险,金融保险服务;保险公司;保险公司|汽车服务;汽车服务相关;汽车服务相关,160400|010000,[],瑞华汽车城东北1门南50米,113.356428,22.981862,113.35095332605444,22.98445903958027,[],广东省,广州市,番禺区,金融保险服务,保险公司,保险公司
B0K6GS2L27,押车放款,金融保险服务;金融保险服务机构;金融保险机构|汽车服务;汽车服务相关;汽车服务相关,160000|010000,[],横山第三工业街与西环路交叉口西北60米,113.352171,22.950777,113.3467057979855,22.95339435743274,[],广东省,广州市,番禺区,金融保险服务,金融保险服务机构,金融保险机构
B0JK7CGPQ7,平安车险,金融保险服务;金融保险服务机构;金融保险机构|汽车服务;汽车服务相关;汽车服务相关,160000|010000,[],久裕大道与西环路交叉口西180米,113.654113,23.124444,113.64899923390358,23.12725089439173,[],广东省,广州市,增城区,金融保险服务,金融保险服务机构,金融保险机构
B0H0ULQNFE,汇金米其林轮胎(青云大道店),金融保险服务;保险公司;保险公司|汽车服务;汽车服务相关;汽车服务相关,160400|010000,[],荷景二区三街10座11座东北门旁,113.349057,22.905622,113.34360049061308,22.90826364412061,13533427871,广东省,广州市,番禺区,金融保险服务,保险公司,保险公司
B0KBKRE1SX,不押车贷款,金融保险服务;金融保险服务机构;金融保险机构|汽车服务;汽车服务相关;汽车服务相关,160000|010000,[],鹤龙二路与新石路交叉口南20米,113.290833,23.255834,113.285464855929,23.25843842354512,[],广东省,广州市,白云区,金融保险服务,金融保险服务机构,金融保险机构
B0J2AP25XQ,平安车险电销中心,金融保险服务;金融保险服务机构;金融保险机构|汽车服务;汽车服务相关;汽车服务相关,160000|010000,[],天保路与番禺大道北辅路交叉口西南40米,113.369647,22.968029,113.36415353796777,22.97061305813517,[],广东省,广州市,番禺区,金融保险服务,金融保险服务机构,金融保险机构
B0G1CRSJTS,华天汽车,金融保险服务;金融保险服务机构;金融保险机构|汽车销售;汽车销售;汽车销售,160000|020000,[],百寿路光明花园地铺大金空调旁,113.238497,23.407523,113.23315275110797,23.410119468770063,[],广东省,广州市,花都区,金融保险服务,金融保险服务机构,金融保险机构
B0FFITD929,中金联和,金融保险服务;金融保险服务机构;金融保险机构|购物服务;购物相关场所;购物相关场所,160000|060000,[],狮岭镇欧洲工业园昶蓉路5号春尚皮具楼下,113.188661,23.474887,113.1832537,23.477416,[],广东省,广州市,花都区,金融保险服务,金融保险服务机构,金融保险机构
B0FFF3URDQ,中国农业银行(广州沙凤支行),金融保险服务;银行;中国农业银行|公司企业;公司;公司|购物服务;购物相关场所;购物相关场所,160107|170200|060000,[],沙凤一路95号104铺,113.203484,23.149805,113.1981232,23.1524395,020-31026110,广东省,广州市,白云区,金融保险服务,银行,中国农业银行
B0FFJ2LUQG,广州璟田投资咨询服务有限公司,金融保险服务;金融保险服务机构;金融保险机构|购物服务;购物相关场所;购物相关场所,160000|060000,[],河东南路89号紫薇苑首层,113.597204,23.536832,113.5921012,23.5396045,020-87928168,广东省,广州市,从化区,金融保险服务,金融保险服务机构,金融保险机构
B0FFHFIPWH,中国人民财产保险股份有限公司(广州市番禺支公司亚运村营销服务部),金融保险服务;保险公司;中国人民保险公司|购物服务;购物相关场所;购物相关场所,160401|060000,[],石楼镇嵩山路60号2号楼1层,113.480718,22.956907,113.4753557,22.9596017,[],广东省,广州市,番禺区,金融保险服务,保险公司,中国人民保险公司
B0K6R5C3CD,中民行签约中心,金融保险服务;金融保险服务机构;金融保险机构|生活服务;生活服务场所;生活服务场所,160000|070000,[],汉溪大道东辅路与汉兴中路交叉口东北140米,113.334646,22.996442,113.32921143699362,22.99907140241111,[],广东省,广州市,番禺区,金融保险服务,金融保险服务机构,金融保险机构
B0JUO99KDN,金兑生活工作室,金融保险服务;金融保险服务机构;金融保险机构|生活服务;生活服务场所;生活服务场所,160000|070000,[],宝岗大道205号宏宇广场A座3204,113.263228,23.100184,113.2579011039087,23.102873095656584,[],广东省,广州市,海珠区,金融保险服务,金融保险服务机构,金融保险机构
B0K6FRMXXB,保盈保利心语分店,金融保险服务;金融保险服务机构;金融保险机构|生活服务;生活服务场所;生活服务场所,160000|070000,[],兴盛直街与金穗路交叉口南80米,113.329588,23.122326,113.32415524328978,23.12491165396428,[],广东省,广州市,天河区,金融保险服务,金融保险服务机构,金融保险机构
