id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
B0FFH6IT07,国泰收费站(G94珠三角环线高速出口),道路附属设施;收费站;收费站,180200,[],花都区,113.014756,23.447364,113.00941266161108,23.449915527703123,[],广东省,广州市,花都区,道路附属设施,收费站,收费站
B0FFH6ITPR,国泰收费站(G94珠三角环线高速出口赤坭方向),道路附属设施;收费站;收费站,180200,[],花都区,113.018466,23.446135,113.01310996137512,23.44867582424348,[],广东省,广州市,花都区,道路附属设施,收费站,收费站
B0FFH6IRPH,国泰收费站(G94珠三角环线高速入口),道路附属设施;收费站;收费站,180200,[],花都区,113.014711,23.447496,113.0093678089766,23.45004764683859,[],广东省,广州市,花都区,道路附属设施,收费站,收费站
B0FFH6ITS6,国泰收费站(G94珠三角环线高速入口东向),道路附属设施;收费站;收费站,180200,[],花都区,113.018441,23.445844,113.01308506650189,23.44838492645331,[],广东省,广州市,花都区,道路附属设施,收费站,收费站
B0FFGQ9W2K,三坑收费站(G94珠三角环线高速入口西向),道路附属设施;收费站;收费站,180200,[],花都区,113.059776,23.441499,113.05430259593604,23.44394211112899,[],广东省,广州市,花都区,道路附属设施,收费站,收费站
BZ7TP500AQ,赤坭收费站(S16佛清从高速出口莲塘方向),道路附属设施;收费站;收费站,180200,[],花都区,113.018835,23.367427,113.01348302555856,23.36997864062876,[],广东省,广州市,花都区,道路附属设施,收费站,收费站
B0FFH0T29T,三坑收费站(G94珠三角环线高速出口三坑方向),道路附属设施;收费站;收费站,180200,[],花都区,113.059643,23.440971,113.0541699105198,23.443414393199333,[],广东省,广州市,花都区,道路附属设施,收费站,收费站
BZ7TP500CQ,赤坭收费站(S16佛清从高速出口佛山方向),道路附属设施;收费站;收费站,180200,[],花都区,113.017013,23.369789,113.01166710325732,23.37234546062533,[],广东省,广州市,花都区,道路附属设施,收费站,收费站
BZ7UP500AF,服务区(建设中),道路附属设施;服务区;高速服务区,180300,[],花都区,113.039753,23.461651,113.03432830226102,23.46413345535561,[],广东省,广州市,花都区,道路附属设施,服务区,高速服务区
BZ7UP500AE,服务区(建设中),道路附属设施;服务区;高速服务区,180300,[],花都区,113.039231,23.463735,113.03380766592468,23.46621854344863,[],广东省,广州市,花都区,道路附属设施,服务区,高速服务区
BZ7TP500CR,赤坭收费站(S16佛清从高速入口西北向),道路附属设施;收费站;收费站,180200,[],花都区,113.017081,23.36983,113.01173486674756,23.37238625452629,[],广东省,广州市,花都区,道路附属设施,收费站,收费站
BZ7TP500AR,赤坭收费站(S16佛清从高速入口南向),道路附属设施;收费站;收费站,180200,[],花都区,113.018762,23.367407,113.01341027574682,23.369958855366765,[],广东省,广州市,花都区,道路附属设施,收费站,收费站
B00140U5G5,炭步服务区(沈海高速海口方向),道路附属设施;服务区;高速服务区,180300,[],花都区,113.068275,23.314411,113.0627941919516,23.316864745660805,[],广东省,广州市,花都区,道路附属设施,服务区,高速服务区
