id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
B0FFI86U4Z,2017年中国(广东)民间工艺博览会,事件活动;公众活动;展会展览,220102,[],广交会展馆B区12.2号馆,113.363899,23.097911,113.35840461658964,23.100447130735606,[],广东省,广州市,海珠区,事件活动,公众活动,展会展览
B0FFM1FBY6,新春狂欢派对,事件活动;公众活动;文艺演出,220104,[],[],113.330969,22.999431,113.32554173664164,23.00206609827832,[],广东省,广州市,番禺区,事件活动,公众活动,文艺演出
B0IACHNOSX,石壁岗保管,事件活动;公众活动;大型会议,220105,[],花东镇大塘村石壁岗31号,113.340865,23.413501,113.335389492627,23.41597995491935,[],广东省,广州市,花都区,事件活动,公众活动,大型会议
B0FFF31XCF,巨星剧场,事件活动;公众活动;文艺演出,220104,[],汉溪大道东299号长隆欢乐世界内,113.331951,22.999953,113.32652169107088,23.002586001980625,[],广东省,广州市,番禺区,事件活动,公众活动,文艺演出
B0FFHFXR9R,泊神赛车会,事件活动;公众活动;体育赛事,220103,[],齐心路与云城西路辅路交叉口西200米,113.266704,23.182105,113.26136920590773,23.18475973862673,[],广东省,广州市,白云区,事件活动,公众活动,体育赛事
B0FFM1FQQ0,瑞鼠贺新大巡游,事件活动;公众活动;文艺演出,220104,[],长隆欢乐世界内长隆地铁大道附近,113.327979,22.997485,113.3225580080717,23.00012664533371,[],广东省,广州市,番禺区,事件活动,公众活动,文艺演出
B0FFK6OUCE,海珠客运站平安服务站,事件活动;事件活动;事件活动,220000,[],海珠客运站,113.298723,23.065035,113.29335469991705,23.067700200584,18826484085,广东省,广州市,海珠区,事件活动,事件活动,事件活动
B0FFKH5JAN,欢乐大派对,事件活动;公众活动;文艺演出,220104,[],[],113.330969,22.999431,113.32554173664164,23.00206609827832,[],广东省,广州市,番禺区,事件活动,公众活动,文艺演出
B0IRT7G6TZ,造物节2022,事件活动;公众活动;展会展览,220102,[],阅江中路380号广交会展馆,113.358591,23.100334,113.35310468212806,23.10287699450125,[],广东省,广州市,海珠区,事件活动,公众活动,展会展览
B0FFK8ARWH,广州南站春节临时停车区(石浦大道南),事件活动;事件活动;事件活动,220000,[],石浦大道南与汉溪大道西交叉口东南120米,113.274416,22.984428,113.2690875329395,22.98715867378768,[],广东省,广州市,番禺区,事件活动,事件活动,事件活动
B0FFKH5JAM,魔法奇幻之旅,事件活动;公众活动;文艺演出,220104,[],长隆欢乐世界内,113.330625,23.000175,113.325198391455,23.002810432615533,[],广东省,广州市,番禺区,事件活动,公众活动,文艺演出
B0JDZ5CEJM,Cartier卡地亚猎豹主题展览,事件活动;公众活动;展会展览,220102,[],靖远路与沿江西路交叉口西北40米,113.252166,23.107769,113.24684309725328,23.11045826466388,[],广东省,广州市,荔湾区,事件活动,公众活动,展会展览
B0FFM1FG5W,欢乐泡泡大巡游,事件活动;公众活动;文艺演出,220104,[],长隆欢乐世界内长隆地铁大道附近,113.327979,22.997485,113.3225580080717,23.00012664533371,[],广东省,广州市,番禺区,事件活动,公众活动,文艺演出
B0FFM1FHQ4,泡泡狂欢派对,事件活动;公众活动;文艺演出,220104,[],[],113.330969,22.999431,113.32554173664164,23.00206609827832,[],广东省,广州市,番禺区,事件活动,公众活动,文艺演出
B0IKPH0P06,街北高速公路主线段完工仪式会场,事件活动;事件活动;事件活动,220000,[],[],113.53106,23.517715,113.52583222401364,23.52039251644769,[],广东省,广州市,从化区,事件活动,事件活动,事件活动
B0FFI6V7SC,2017江南如画——中国油画作品展,事件活动;公众活动;展会展览,220102,[],广东美术馆,113.307162,23.107981,113.3017753799494,23.110614147393868,[],广东省,广州市,越秀区,事件活动,公众活动,展会展览
B0FFGYZGNQ,珠江琶醍啤酒文化创意艺术区多功能厅,事件活动;公众活动;展会展览,220102,[],磨碟沙大街118号珠江琶醍啤酒文化创意艺术区A区附近,113.340627,23.106977,113.33517294819576,23.10954810765924,[],广东省,广州市,海珠区,事件活动,公众活动,展会展览
