id,name,type,typecode,biztype,address,gcj02_x,gcj02_y,wgs84_x,wgs84_y,tel,pname,cityname,adname,大类,中类,小类
B02F50UDUF,公共厕所,公共设施;公共厕所;公共厕所,200300,[],得金观音庙路与横七路交叉口东南20米,113.153991,23.216292,113.14853782661116,23.218812928413254,[],广东省,佛山市,南海区,公共设施,公共厕所,公共厕所
B0J2HRNLSF,公共厕所,公共设施;公共厕所;公共厕所,200300,[],得金南蛇墩四路15号,113.16161,23.226674,113.15616962636956,23.229205188588736,[],广东省,佛山市,南海区,公共设施,公共厕所,公共厕所
B0J14MWN0D,公共厕所,公共设施;公共厕所;公共厕所,200300,[],得金煤冈路6号,113.15894,23.216761,113.153495484486,23.21929067187098,[],广东省,佛山市,南海区,公共设施,公共厕所,公共厕所
B02F50UBO5,公共厕所,公共设施;公共厕所;公共厕所,200300,[],和白线与棠溪南大街交叉口东40米,113.157744,23.231255,113.1522963671348,23.23377755167396,[],广东省,佛山市,南海区,公共设施,公共厕所,公共厕所
B02F50UDUL,公共厕所,公共设施;公共厕所;公共厕所,200300,[],里水镇棠溪村东大街深丹综合楼东北,113.154625,23.232639,113.14917180651678,23.23515548514129,[],广东省,佛山市,南海区,公共设施,公共厕所,公共厕所
B0FFF05SAB,公共厕所,公共设施;公共厕所;公共厕所,200300,[],宏岗中心西街与宏岗中心东街交叉口北20米,113.142559,23.226016,113.1370867589718,23.228514484401806,[],广东省,佛山市,南海区,公共设施,公共厕所,公共厕所
B0FFF2SFIY,公共厕所,公共设施;公共厕所;公共厕所,200300,[],洲表村大街与洲表新村大街交叉口东南20米,113.154186,23.23565,113.1487318435112,23.238164704856207,[],广东省,佛山市,南海区,公共设施,公共厕所,公共厕所
B0FFGAZF16,公共厕所,公共设施;公共厕所;公共厕所,200300,[],棠白路附近,113.14516,23.23455,113.13969111693136,23.237049746172023,[],广东省,佛山市,南海区,公共设施,公共厕所,公共厕所
B0G1FUPB4E,公共厕所,公共设施;公共厕所;公共厕所,200300,[],赤山大道赤山公园(东南角),113.13919,23.216693,113.13371354687654,23.21918956390895,[],广东省,佛山市,南海区,公共设施,公共厕所,公共厕所
B0FFKEPWT7,公共厕所,公共设施;公共厕所;公共厕所,200300,[],村前路与三区路交叉口东60米,113.13715,23.217299,113.13167072075775,23.21979238971125,[],广东省,佛山市,南海区,公共设施,公共厕所,公共厕所
B0IROLWYVR,公共厕所,公共设施;公共厕所;公共厕所,200300,[],里水大道北与大朗村西街交叉口东南140米,113.141412,23.21064,113.13593912397558,23.21314202283916,[],广东省,佛山市,南海区,公共设施,公共厕所,公共厕所
B02F50UBO4,公共厕所,公共设施;公共厕所;公共厕所,200300,[],福田路与文金横路交叉口西北340米,113.170342,23.232696,113.16491736600186,23.23524156023533,[],广东省,佛山市,南海区,公共设施,公共厕所,公共厕所
B0FFFTNH6L,公共厕所,公共设施;公共厕所;公共厕所,200300,[],里水大道北与里官路大朗工业区北街交叉口南140米,113.144367,23.207924,113.13889871468808,23.210431606674213,[],广东省,佛山市,南海区,公共设施,公共厕所,公共厕所
B0FFGL91OP,女洗手间,公共设施;公共厕所;女洗手间,200302,[],大朗村新街与大朗村东街交叉口北80米,113.142732,23.208342,113.13726122171408,23.210846875017324,[],广东省,佛山市,南海区,公共设施,公共厕所,女洗手间
B0FFF2EJNI,公共厕所,公共设施;公共厕所;公共厕所,200300,[],邓岗通道里水实验幼儿园,113.154782,23.186785,113.14933219961124,23.18931789704749,[],广东省,佛山市,南海区,公共设施,公共厕所,公共厕所
B0JDXXJUDL,公共厕所,公共设施;公共厕所;公共厕所,200300,[],养牛人美食餐厅北侧60米,113.174577,23.223855,113.16916089542148,23.226411562504484,[],广东省,佛山市,南海区,公共设施,公共厕所,公共厕所
B0JR6YKSLB,公共厕所,公共设施;公共厕所;公共厕所,200300,[],南隅通道与邓岗大井路交叉口西北40米,113.152862,23.184898,113.14740903274873,23.187428204045897,[],广东省,佛山市,南海区,公共设施,公共厕所,公共厕所
